,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Nokaneng,80,BW,1583046889,72,-19.67,22.27,293.84,6.39
375,Wuwei,100,CN,1583046889,35,37.93,102.64,276.92,3.6
376,Kendari,100,ID,1583046890,70,-3.94,122.5,304.2,2.79
377,Hervey Bay,3,AU,1583046890,55,-25.3,152.85,303.15,6.7
378,Mocuba,79,MZ,1583046890,95,-16.84,36.99,297.06,3.0
379,Praia,82,CV,1583046890,56,14.92,-23.51,296.15,7.2
380,Vila Velha,90,BR,1583046890,100,-20.33,-40.29,297.15,1.5
381,Melfi,40,IT,1583046892,87,41.0,15.65,279.15,2.6
382,Bethel,1,US,1583046892,57,41.37,-73.41,269.26,7.7
383,Halifax,90,CA,1583046722,100,44.65,-63.57,272.59,2.6
384,Leningradskiy,99,RU,1583046892,86,69.38,178.42,255.52,8.73
385,Umluj,26,SA,1583046893,46,25.02,37.27,292.26,4.19
386,Port Hedland,38,AU,1583046893,63,-20.32,118.57,308.15,7.2
387,Zaria,94,NG,1583046893,16,11.11,7.72,295.51,3.06
388,Assiut,0,EG,1583046893,76,27.18,31.18,284.15,4.1
389,College,75,US,1583046894,76,64.86,-147.8,257.59,2.02
390,Quesnel,90,CA,1583046894,92,53.0,-122.5,270.15,0.61
391,Gwadar,0,PK,1583046894,57,25.12,62.33,296.03,3.8
392,Oktyabr'skiy,100,RU,1583046894,91,54.48,53.47,269.67,3.41
393,Amapá,70,BR,1583046895,99,1.0,-52.0,294.85,0.98
394,Ahipara,100,NZ,1583046895,82,-35.17,173.17,297.04,2.75
395,Balad,0,IQ,1583046895,44,34.02,44.15,290.53,4.32
396,Teodoro Sampaio,36,BR,1583046896,95,-22.53,-52.17,291.68,2.82
397,Gamba,100,GA,1583046896,91,-2.65,10.0,297.47,3.55
398,Peterhead,99,GB,1583046896,91,57.51,-1.8,276.15,4.6
399,Broken Hill,24,AU,1583046897,9,-31.95,141.43,308.15,4.6
400,Simití,9,CO,1583046897,74,7.96,-73.94,296.96,1.42
401,Teacapan,0,MX,1583046897,71,22.55,-105.75,292.48,0.95
402,Cockburn Town,84,TC,1583046897,78,21.46,-71.14,296.48,10.37
403,Salalah,20,OM,1583046897,61,17.02,54.09,299.15,1.0
404,Lorengau,99,PG,1583046898,78,-2.02,147.27,301.45,3.17
405,Fevik,75,NO,1583046898,93,58.38,8.68,278.15,4.1
406,Alice Springs,100,AU,1583046898,13,-23.7,133.88,310.15,4.1
407,Podosinovets,100,RU,1583046898,87,60.28,47.07,266.29,5.75
408,Huangmei,62,CN,1583046899,61,30.19,116.03,288.41,3.46
409,Xylaganí,20,GR,1583046899,86,40.98,25.42,282.04,1.61
410,Camacha,40,PT,1583046899,93,33.08,-16.33,290.15,3.1
411,Rabat,40,MA,1583046899,87,33.99,-6.84,287.15,2.6
412,Alta Floresta,100,BR,1583046900,98,-9.88,-56.09,295.61,0.75
413,Svetlaya,0,RU,1583046900,72,46.54,138.33,268.72,3.76
414,Los Llanos de Aridane,20,ES,1583046900,82,28.66,-17.92,290.15,4.6
415,Esim,14,GH,1583046900,96,4.87,-2.24,298.65,1.72
416,Mulegé,100,MX,1583046901,36,26.88,-111.98,293.29,1.12
417,Okha,100,RU,1583046902,94,53.57,142.95,262.03,3.9
418,Iquique,38,CL,1583046902,73,-20.22,-70.14,294.15,4.6
419,São Mateus do Sul,34,BR,1583046902,97,-25.87,-50.38,286.63,1.29
420,Paamiut,0,GL,1583046902,54,61.99,-49.67,253.68,3.17
421,Zyryanka,0,RU,1583046903,83,65.75,150.85,262.79,5.11
422,Ardakān,0,IR,1583046903,26,32.31,54.02,289.15,2.1
423,Anadyr,0,RU,1583046903,76,64.75,177.48,250.15,3.0
424,Zhangjiakou,5,CN,1583046783,25,40.81,114.88,271.31,10.79
425,Kattivākkam,40,IN,1583046903,55,13.22,80.32,304.15,3.1
426,Mtambile,98,TZ,1583046904,77,-5.38,39.7,302.53,3.09
427,Micheweni,68,TZ,1583046904,73,-4.97,39.83,302.7,2.07
428,Aswān,17,EG,1583046904,44,24.09,32.91,288.15,3.1
429,Navahrudak,100,BY,1583046904,79,53.6,25.83,275.54,7.84
430,Fairbanks,75,US,1583046638,76,64.84,-147.72,257.59,1.95
431,Khani,90,GE,1583046905,93,41.96,42.96,281.15,4.6
432,Oregon,20,US,1583046905,85,44.0,-120.5,272.04,3.41
433,Dudinka,100,RU,1583046905,85,69.41,86.18,261.15,15.0
434,Arrondissement de Perpignan,90,FR,1583046905,62,42.75,2.75,284.82,0.57
435,Sneek,75,NL,1583046676,80,53.03,5.66,279.26,8.2
436,La Ronge,90,CA,1583046906,85,55.1,-105.28,266.15,5.7
437,Iberia,22,US,1583046906,87,29.95,-91.75,286.48,2.6
438,Shenjiamen,100,CN,1583046907,92,29.96,122.3,283.96,9.31
439,Kiryat Gat,20,IL,1583046723,55,31.61,34.76,289.15,6.7
440,Buritizeiro,99,BR,1583046907,96,-17.35,-44.96,292.39,0.56
441,Porkhov,90,RU,1583046907,95,57.77,29.56,274.15,4.0
442,Creel,23,MX,1583046907,48,27.75,-107.63,278.79,2.43
443,Pacific Grove,1,US,1583046897,66,36.62,-121.92,284.26,5.1
444,Slavsk,100,RU,1583046908,80,55.04,21.68,278.98,4.79
445,Monte Alegre de Sergipe,9,BR,1583046908,81,-10.03,-37.56,297.04,1.65
446,Chul'man,100,RU,1583046908,86,56.85,124.91,260.31,0.53
447,Magadan,0,RU,1583046909,77,59.57,150.8,265.05,0.88
448,Manacor,20,ES,1583046724,67,39.57,3.21,290.37,6.2
449,Safaga,0,EG,1583046909,59,26.73,33.94,289.15,4.1
450,Comodoro Rivadavia,42,AR,1583046901,56,-45.87,-67.5,294.15,1.0
451,Tayu,76,ID,1583046910,66,-6.54,111.05,303.77,7.38
452,Nemuro,75,JP,1583046910,85,43.32,145.57,269.15,2.6
453,Kaeo,78,NZ,1583046910,82,-35.1,173.78,297.04,4.04
454,Catuday,0,PH,1583046910,67,16.29,119.81,300.18,4.33
455,Hurghada,0,EG,1583046812,59,27.26,33.81,289.15,4.1
456,Cartagena,0,CO,1583046911,83,10.4,-75.51,299.15,4.6
457,Compiègne,75,FR,1583046911,75,49.42,2.83,279.15,5.7
458,Arroio Grande,0,BR,1583046911,90,-32.24,-53.09,288.92,1.47
459,Severo-Yeniseyskiy,53,RU,1583046907,84,60.37,93.04,265.0,0.87
460,Moba,81,CN,1583046912,24,33.23,105.02,284.01,2.06
461,Sørland,69,NO,1583046912,62,67.67,12.69,272.8,11.68
462,Dhidhdhoo,69,MV,1583046912,75,6.88,73.1,301.3,4.41
463,Kiama,59,AU,1583046912,58,-34.68,150.87,303.71,6.2
464,Kawalu,94,ID,1583046913,79,-7.38,108.21,300.8,1.68
465,Berezovyy,91,RU,1583046913,68,51.67,135.7,266.95,1.86
466,Vila Franca do Campo,75,PT,1583046913,82,37.72,-25.43,290.15,9.3
467,Rawson,0,AR,1583046913,64,-43.3,-65.1,292.7,7.59
468,Padang,100,ID,1583046914,62,-0.95,100.35,302.32,0.5
469,Ulkan,100,RU,1583046914,87,57.24,107.32,266.0,2.12
470,Brainerd,40,US,1583046914,86,46.36,-94.2,272.15,3.6
471,Raja,41,SS,1583046914,15,8.46,25.68,295.93,2.36
472,Río Bueno,1,CL,1583046915,97,-40.32,-72.97,285.03,1.21
473,Viedma,0,AR,1583046915,67,-40.81,-63.0,292.91,6.23
474,Stokmarknes,63,NO,1583046915,75,68.56,14.91,269.26,1.34
475,Adrar,0,MR,1583046915,15,20.5,-10.07,291.88,4.28
476,Shimoda,75,JP,1583046915,62,34.67,138.95,288.71,3.6
477,Pangody,100,RU,1583046916,93,65.85,74.49,271.44,11.28
478,Clyde River,1,CA,1583046916,74,70.47,-68.59,240.15,7.2
479,Nowy Dwór Gdański,20,PL,1583046916,86,54.21,19.12,278.15,3.6
480,Suzun,100,RU,1583046917,99,53.78,82.31,272.41,2.51
481,Vaitape,100,PF,1583046917,88,-16.52,-151.75,299.72,16.21
482,Tiarei,75,PF,1583046917,94,-17.53,-149.33,298.15,3.6
483,Shingū,75,JP,1583046917,76,33.73,135.98,287.15,4.1
484,Otukpo,69,NG,1583046917,93,7.19,8.13,297.72,2.01
485,Moose Factory,1,CA,1583046635,75,51.26,-80.61,245.15,1.0
486,Grenå,50,DK,1583046905,86,56.42,10.88,278.15,5.1
487,Ugoofaaru,14,MV,1583046919,74,5.67,73.0,301.1,4.44
488,Sabha,0,LY,1583046919,35,27.04,14.43,286.85,4.58
489,Pendleton,40,US,1583046776,64,45.67,-118.79,279.26,4.1
490,Turaif,75,SA,1583046920,100,31.67,38.66,281.15,8.2
491,Gwanda,82,ZW,1583046920,76,-20.93,29.0,289.99,6.1
492,Calvinia,22,ZA,1583046920,47,-31.47,19.78,299.15,5.7
493,Xai-Xai,10,MZ,1583046921,72,-25.05,33.64,296.66,3.47
494,Lagos,75,NG,1583046921,89,6.58,3.75,302.15,1.5
495,Dubăsari,100,MD,1583046921,75,47.26,29.16,280.37,8.2
496,Mareeba,86,AU,1583046921,55,-17.0,145.43,306.15,4.6
497,Berdigestyakh,22,RU,1583046921,87,62.1,126.7,259.65,1.42
498,Aykhal,78,RU,1583046684,77,66.0,111.5,257.15,3.0
499,Kyaikto,0,MM,1583046922,22,17.3,97.02,308.98,3.07
500,Ubinskoye,100,RU,1583046922,88,55.31,79.68,272.26,4.97
501,Nuuk,16,GL,1583046823,65,64.18,-51.72,257.15,5.1
502,Aligoodarz,0,IR,1583046923,37,33.4,49.69,280.24,0.7
503,Manuk Mangkaw,100,PH,1583046923,73,4.8,119.85,302.09,2.14
504,Acaraú,20,BR,1583046923,100,-2.89,-40.12,298.15,0.81
505,Imbituba,0,BR,1583046923,100,-28.24,-48.67,292.15,1.5
506,North Platte,1,US,1583046925,59,41.12,-100.77,274.15,3.69
507,Talaya,99,RU,1583046925,99,61.38,152.75,254.18,0.22
508,Rājāpur,3,IN,1583046925,30,25.38,81.15,302.06,2.32
509,San Andrés Xecul,40,GT,1583046926,86,14.9,-91.48,282.04,0.45
510,Pontalina,100,BR,1583046926,98,-17.52,-49.45,293.02,1.56
511,Nyimba,76,ZM,1583046926,82,-14.56,30.81,294.31,4.26
512,Solnechnyy,65,RU,1583046926,90,50.72,136.63,266.55,1.77
513,Port Blair,2,IN,1583046927,74,11.67,92.75,300.39,4.99
514,Margate,66,GB,1583046927,65,51.38,1.39,279.15,7.7
515,Hobyo,86,SO,1583046927,58,5.35,48.53,300.5,7.28
516,Logroño,37,ES,1583046640,75,42.47,-2.45,282.59,2.6
517,Zhigansk,82,RU,1583046928,96,66.77,123.37,252.82,2.54
518,Pastavy,100,BY,1583046928,81,55.12,26.83,274.55,7.3
519,Itarema,20,BR,1583046928,100,-2.92,-39.92,298.15,0.81
520,Wukari,8,NG,1583046928,75,7.85,9.78,296.17,2.21
521,Saint Anthony,1,US,1583046929,80,45.02,-93.22,277.59,5.7
522,Altay,0,CN,1583046929,58,47.87,88.12,270.31,0.78
523,Kunjah,5,PK,1583046929,52,32.53,73.97,294.15,1.48
524,Nizwá,0,OM,1583046929,39,22.93,57.53,293.09,2.29
525,Byron Bay,90,AU,1583046496,65,-28.65,153.62,303.15,4.1
526,Monsenhor Gil,75,BR,1583046930,94,-5.56,-42.61,298.15,1.5
527,Awjilah,0,LY,1583046930,72,29.11,21.29,286.23,1.07
528,City of San Pedro,20,PH,1583046930,52,14.35,121.02,305.37,4.1
529,Prieska,7,ZA,1583046931,54,-29.66,22.75,296.6,4.09
530,Tuatapere,76,NZ,1583046931,58,-46.13,167.68,292.59,1.34
531,Takoradze,14,GH,1583046931,96,4.88,-1.76,298.65,1.72
532,Dingle,69,PH,1583046931,60,11.0,122.67,302.69,5.11
533,Jamame,89,SO,1583046932,84,0.07,42.75,300.17,5.01
534,Biak,83,ID,1583046932,67,-0.91,122.88,304.96,4.08
535,São Filipe,21,CV,1583046932,62,14.9,-24.5,295.03,10.13
536,Vardø,80,NO,1583046932,93,70.37,31.11,269.85,5.62
537,Elizabeth City,1,US,1583046634,54,36.29,-76.25,276.15,4.76
538,Aden,1,YE,1583046933,58,12.78,45.04,299.81,3.25
539,Osa,96,RU,1583046933,81,57.28,55.46,271.03,5.43
540,Ostrovnoy,100,RU,1583046933,90,68.05,39.51,270.14,6.64
